family,version,model,variant,target,horizon,mase,smape,wql
chronos,original,Chronos,uni,log_return,5,0.7066,163.6972,0.9191
chronos,original,Chronos,uni,log_return,21,0.708,169.9745,0.937
chronos,original,Chronos,uni,price,5,1.7834,1.1685,0.0094
chronos,original,Chronos,uni,price,21,3.0893,2.0201,0.0163
chronos,original,Chronos,uni,simple_return,5,0.7118,168.2514,0.9221
chronos,original,Chronos,uni,simple_return,21,0.7083,169.6165,0.9388
chronos,2,Chronos-2,cov,log_return,5,0.7046,158.9247,0.7943
chronos,2,Chronos-2,cov,log_return,21,0.7077,162.2242,0.8209
chronos,2,Chronos-2,cov,price,5,1.9267,1.2901,0.0104
chronos,2,Chronos-2,cov,price,21,3.5899,2.4894,0.0196
chronos,2,Chronos-2,cov,simple_return,5,0.7043,158.9297,0.7941
chronos,2,Chronos-2,cov,simple_return,21,0.7071,162.2115,0.8205
chronos,2,Chronos-2,uni,log_return,5,0.7057,158.1981,0.798
chronos,2,Chronos-2,uni,log_return,21,0.7063,162.1523,0.818
chronos,2,Chronos-2,uni,price,5,1.867,1.2507,0.0099
chronos,2,Chronos-2,uni,price,21,3.4878,2.424,0.0192
chronos,2,Chronos-2,uni,simple_return,5,0.7053,158.0247,0.7979
chronos,2,Chronos-2,uni,simple_return,21,0.7059,162.0254,0.8179
chronos,bolt,Chronos-Bolt,uni,log_return,5,0.7076,162.1963,0.7987
chronos,bolt,Chronos-Bolt,uni,log_return,21,0.7084,163.7642,0.813
chronos,bolt,Chronos-Bolt,uni,price,5,1.6876,1.1185,0.0091
chronos,bolt,Chronos-Bolt,uni,price,21,2.8557,1.8972,0.0151
chronos,bolt,Chronos-Bolt,uni,simple_return,5,0.7072,162.1934,0.7984
chronos,bolt,Chronos-Bolt,uni,simple_return,21,0.7078,163.7188,0.813
moirai,1.0,Moirai-1.0,cov,log_return,5,0.7087,152.556,0.8202
moirai,1.0,Moirai-1.0,cov,log_return,21,0.7112,155.2936,0.8303
moirai,1.0,Moirai-1.0,cov,price,5,2.1546,1.4673,0.0112
moirai,1.0,Moirai-1.0,cov,price,21,4.069,2.806,0.0218
moirai,1.0,Moirai-1.0,cov,simple_return,5,0.709,152.8454,0.8123
moirai,1.0,Moirai-1.0,cov,simple_return,21,0.7121,156.5228,0.8313
moirai,1.0,Moirai-1.0,uni,log_return,5,0.7063,153.8006,0.8178
moirai,1.0,Moirai-1.0,uni,log_return,21,0.7112,157.5546,0.8558
moirai,1.0,Moirai-1.0,uni,price,5,1.8614,1.239,0.0097
moirai,1.0,Moirai-1.0,uni,price,21,3.3468,2.22,0.0172
moirai,1.0,Moirai-1.0,uni,simple_return,5,0.7172,157.3118,0.8204
moirai,1.0,Moirai-1.0,uni,simple_return,21,0.7182,159.8303,0.8571
moirai,2.0,Moirai-2.0,uni,log_return,5,0.7013,156.1976,0.8061
moirai,2.0,Moirai-2.0,uni,log_return,21,0.7058,160.0709,0.8217
moirai,2.0,Moirai-2.0,uni,price,5,1.7632,1.1551,0.0093
moirai,2.0,Moirai-2.0,uni,price,21,3.3499,2.2082,0.0172
moirai,2.0,Moirai-2.0,uni,simple_return,5,0.7009,156.2428,0.806
moirai,2.0,Moirai-2.0,uni,simple_return,21,0.7054,160.1432,0.8214
